"Consumer price index (2015=100) by commodity group, time and unit"

" "," ","Index","Percentage change compared to previous month (per cent)","Percentage change compared to same month the year before (per cent)"
"02.1.1.1 Spirits and liqueurs"
" ","2007M01",..,..,..
" ","2007M02",..,..,..
" ","2007M03",..,..,..
" ","2007M04",..,..,..
" ","2007M05",..,..,..
" ","2007M06",..,..,..
" ","2007M07",..,..,..
" ","2007M08",..,..,..
" ","2007M09",..,..,..
" ","2007M10",..,..,..
" ","2007M11",..,..,..
" ","2007M12",..,..,..
" ","2008M01",..,..,..
" ","2008M02",..,..,..
" ","2008M03",..,..,..
" ","2008M04",..,..,..
" ","2008M05",..,..,..
" ","2008M06",..,..,..
" ","2008M07",..,..,..
" ","2008M08",..,..,..
" ","2008M09",..,..,..
" ","2008M10",..,..,..
" ","2008M11",..,..,..
" ","2008M12",..,..,..
" ","2009M01",87.1,..,..
" ","2009M02",87.8,0.8,..
" ","2009M03",87.6,-0.2,..
" ","2009M04",88.1,0.6,..
" ","2009M05",88.1,0.0,..
" ","2009M06",88.0,-0.1,..
" ","2009M07",87.9,-0.1,..
" ","2009M08",87.6,-0.3,..
" ","2009M09",87.9,0.3,..
" ","2009M10",87.3,-0.7,..
" ","2009M11",87.3,0.0,..
" ","2009M12",87.9,0.7,..
" ","2010M01",87.4,-0.6,0.3
" ","2010M02",87.8,0.5,0.0
" ","2010M03",87.7,-0.1,0.1
" ","2010M04",87.7,0.0,-0.5
" ","2010M05",87.9,0.2,-0.2
" ","2010M06",87.6,-0.3,-0.5
" ","2010M07",87.3,-0.3,-0.7
" ","2010M08",87.4,0.1,-0.2
" ","2010M09",88.2,0.9,0.3
" ","2010M10",87.5,-0.8,0.2
" ","2010M11",87.5,0.0,0.2
" ","2010M12",87.9,0.5,0.0
" ","2011M01",86.2,-1.9,-1.4
" ","2011M02",86.4,0.2,-1.6
" ","2011M03",86.1,-0.3,-1.8
" ","2011M04",86.2,0.1,-1.7
" ","2011M05",86.8,0.7,-1.3
" ","2011M06",87.0,0.2,-0.7
" ","2011M07",87.2,0.2,-0.1
" ","2011M08",87.3,0.1,-0.1
" ","2011M09",87.3,0.0,-1.0
" ","2011M10",87.7,0.5,0.2
" ","2011M11",87.6,-0.1,0.1
" ","2011M12",87.7,0.1,-0.2
" ","2012M01",91.8,4.7,6.5
" ","2012M02",93.9,2.3,8.7
" ","2012M03",94.7,0.9,10.0
" ","2012M04",94.7,0.0,9.9
" ","2012M05",94.8,0.1,9.2
" ","2012M06",95.2,0.4,9.4
" ","2012M07",95.5,0.3,9.5
" ","2012M08",95.2,-0.3,9.0
" ","2012M09",95.0,-0.2,8.8
" ","2012M10",95.5,0.5,8.9
" ","2012M11",95.7,0.2,9.2
" ","2012M12",95.9,0.2,9.4
" ","2013M01",96.1,0.2,4.7
" ","2013M02",97.5,1.5,3.8
" ","2013M03",98.2,0.7,3.7
" ","2013M04",97.7,-0.5,3.2
" ","2013M05",97.4,-0.3,2.7
" ","2013M06",97.2,-0.2,2.1
" ","2013M07",98.3,1.1,2.9
" ","2013M08",98.5,0.2,3.5
" ","2013M09",97.6,-0.9,2.7
" ","2013M10",97.8,0.2,2.4
" ","2013M11",98.0,0.2,2.4
" ","2013M12",98.0,0.0,2.2
